timeDuration;nMovements;movementsDifficulty;AItechnique;robotSpeech;acrobaticMovements;movementsRepetition;musicGenre;movementsTransitionsDuration;humanMovements;balance;speed;bodyPartsCombination;musicBPM;sameStartEndPositionPlace;headMovement;armsMovement;handsMovement;legsMovement;feetMovement;EvaluationChoreographyStoryTelling;EvaluationChoreographyRhythm;EvaluationChoreographyMovementTechnique;EvaluationPublicInvolvement;EvaluationChoreographySpace;EvaluationChoreographyHumanCharacterization;EvaluationHumanReproducibility
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;3;3;2;3;3;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;2;3;1;1;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;5;3;4;2;4;4;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;4;3;3;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;4;4;4;2;3;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;1;2;1;1;1;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;2;2;1;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;4;3;3;3;4;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;4;2;4;5;4;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;4;4;3;3;3;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;2;2;1;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;3;1;5;3;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;5;5;4;4;3;3;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;3;3;3;2;2;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;1;1;1;1;1;1;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;4;5;4;3;5;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;4;3;4;4;3;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;5;4;4;4;4;3;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;4;4;2;3;3;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;4;3;5;4;5;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;4;4;4;4;4;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;2;2;1;1;1;3
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;2;2;4;2;2;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;1;1;1;1;1;1;1
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;3;3;3;3;4;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;3;4;3;2;4;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;3;4;3;4;3;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;4;4;4;4;3;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;1;2;3;3;3;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;2;4;2;4;4;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;1;1;1;1;1;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;2;4;3;4;5;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;3;4;3;4;2;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;2;3;3;2;2;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;4;4;4;3;4;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;2;2;4;3;3;4;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;1;1;4;4;2;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;4;4;3;4;3;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;4;4;4;4;3;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;4;4;2;4;4;3;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;3;4;3;3;3;4
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;2;2;2;1;2;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;1;1;2;1;5;2;5
56;9;1;searchStartegy;1;0;2;Rock;2;3;3;2;1;156;1;3;2;2;2;2;3;4;3;3;3;3;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;4;3;4;2;3;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;3;4;1;1;1;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;4;4;3;4;4;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;4;3;4;4;2;2
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;2;3;4;2;2;2;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;4;3;2;2;2;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;4;2;3;3;3
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;4;4;4;4;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;2;4;3;4;4;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;5;5;3;5;5;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;1;1;1;1;1;1
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;1;2;2;2;2;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;2;4;3;3;4;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;2;2;3;2;3;3;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;4;4;3;3;4;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;3;3;3;3;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;2;2;2;2;2
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;2;2;2;2;2;2;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;5;4;4;3;5;4;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;2;1;3;4;3;2
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;5;3;4;4;2
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;2;3;3;2;2;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;2;4;3;3;2
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;4;1;2;2;1;1
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;1;1;2;1;1;1;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;2;2;3;3;2;2;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;5;5;3;5;5;4;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;4;4;3;3;3;3;4
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;4;4;3;4;3;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;3;4;3;5;4;5
61;8;1;planning;0;0;3;Folk;3;2;1;1;1;114;0;1;3;2;3;1;3;4;4;3;3;3;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;3;4;4;3;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;3;5;5;2;3;4;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;3;4;5;5;5;5;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;3;4;5;4;5;4;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;5;5;5;5;4;3
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;2;2;3;1;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;5;3;5;4;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;5;5;5;5;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;3;5;5;4;4;3;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;5;5;5;5;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;1;1;1;1;1;1;1
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;5;4;4;5;3
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;3;4;3;4;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;4;3;4;4;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;5;4;3;4;4;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;5;2;4;3;3;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;4;4;3;4;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;3;3;3;2;3;3;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;4;4;5;4;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;3;4;3;4;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;4;4;3;4;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;4;4;4;4;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;4;4;3;4;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;4;4;5;5;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;5;4;2;5;5;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;5;4;4;4;4;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;5;4;5;5;4;4
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;4;4;4;3;3
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;3;4;4;4;3;4;5
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;5;4;5;5;5;5;2
74;8;3;constraints;0;1;2;Indie;2;2;1;1;1;152;0;3;3;1;2;1;4;4;4;4;4;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;4;3;3;2;3;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;2;4;4;1;1;2;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;5;5;5;4;5;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;4;4;4;4;4;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;5;5;3;4;3;3;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;5;4;2;3;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;5;3;3;3;3;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;5;4;5;5;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;3;3;3;3;3;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;5;5;5;5;3;5;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;1;1;1;1;1;1;1
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;4;4;4;3;4;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;2;4;4;3;3;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;2;2;1;2;3;2;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;5;5;3;3;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;4;4;5;3;3;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;4;2;3;2;2;2
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;2;1;2;1;2;2;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;5;4;5;4;4;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;3;2;3;4;2;2
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;5;5;4;5;3;4;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;5;4;4;4;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;5;4;4;3;4;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;5;5;4;5;4;4;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;1;5;5;2;1;5;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;4;5;4;4;4;3
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;5;5;2;5;5;4;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;4;4;4;4;4;4
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;3;4;2;3;3;2;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;1;5;3;4;5;3;5
61;7;2;searchStartegy;1;1;3;Pop;1;2;2;3;2;98;0;3;3;1;3;1;4;4;3;4;3;3;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;4;3;4;3;2;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;4;4;4;4;3;2
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;5;5;5;5;5;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;2;3;2;2;4;2;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;4;5;5;5;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;5;5;2;5;5;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;3;3;4;4;3;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;4;5;5;5;5;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;4;4;4;3;4;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;2;3;3;4;2;3;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;1;1;1;1;1;1;1
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;5;5;5;3;4;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;4;4;3;4;3;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;4;4;4;5;4;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;2;5;3;3;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;3;4;2;4;3;3;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;4;5;4;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;2;2;1;1;2;1;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;4;3;4;4;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;3;5;3;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;5;4;4;3;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;4;4;4;4;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;2;4;3;2;3
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;5;4;5;4;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;3;2;4;3;3;5
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;4;3;4;4;3
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;5;2;5;5;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;4;4;3;3;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;2;4;3;4;4;3;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;5;4;5;5;5;4;4
64;7;2;searchStartegy;1;1;3;Folk;2;3;2;1;2;134;1;1;3;1;3;1;4;4;4;4;4;3;4
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;2;4;3;3;3;2;5
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;3;5;4;4;3;3;2
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;4;4;3;3;3;3;4
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;3;3;3;4;4;4;4
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;5;5;3;4;5;3;3
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;4;4;4;2;4;4;4
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;4;3;4;3;4;2;1
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;4;4;4;4;4;4;4
62;12;2;searchStartegy;0;1;2;Pop;1;1;2;2;3;136;1;2;3;3;3;2;2;3;4;4;4;3;5
